case_id	array_length	rank	period	peak_height	score	score2	score2_norm	background
hor_0011	11734	6	7	52	0.0044361031	0.0124537157	0.0033922658	21.2099
hor_0011	11734	5	21	68	0.0058079945	0.0255105556	0.0069488165	28.4765
hor_0011	11734	7	30	39	0.0033336183	0.0163577001	0.0044556715	29.0997
hor_0011	11734	8	120	34	0.0029287622	0.0202286399	0.0055100762	27.6049
hor_0011	11734	9	129	32	0.0027586207	0.0193413166	0.0052683784	27.0815
hor_0011	11734	13	144	26	0.0022442814	0.0160913293	0.0043831148	25.7327
hor_0011	11734	1	150	1795	0.1550220226	1.1206260946	0.3052471766	25.3783
hor_0011	11734	3	301	772	0.0675533777	0.5562088196	0.1515056383	24.0051
hor_0011	11734	2	451	1154	0.1023231069	0.9021811581	0.2457449925	24.7491
hor_0011	11734	10	601	27	0.002426312	0.0223978228	0.0061009396	25.1176
hor_0011	11734	12	603	26	0.0023368686	0.0215833515	0.0058790859	24.6267
hor_0011	11734	14	753	24	0.0021865889	0.0208961503	0.0056918993	22.4069
hor_0011	11734	4	903	116	0.0107149455	0.1052055729	0.0286569305	21.8539
hor_0011	11734	11	1352	25	0.0024091741	0.0250575297	0.0068254168	20.7316
